,id,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_phone_verification,require_guest_profile_picture,requires_license,reviews_per_month
0,12147973,,,f,1.0,Roslindale,42.28261879577949,-71.13306792912681,House,Entire home/apt,4,1.5,3.0,Real Bed,250.00,,35.00,1,0.00,2,1125,0,,,,,,,,f,moderate,f,f,f,
1,3075044,100%,100%,f,1.0,Roslindale,42.286240821867416,-71.13437396457161,Apartment,Private room,2,1.0,1.0,Real Bed,65.00,95.00,10.00,0,0.00,2,15,36,94.0,10.0,9.0,10.0,10.0,9.0,9.0,t,moderate,f,f,f,1.3
2,6976,100%,88%,t,1.0,Roslindale,42.29243788665679,-71.13576525374667,Apartment,Private room,2,1.0,1.0,Real Bed,65.00,,,1,20.00,3,45,41,98.0,10.0,9.0,10.0,10.0,9.0,10.0,f,moderate,f,t,f,0.47
3,1436513,100%,50%,f,1.0,Roslindale,42.281106188273654,-71.12102117350554,House,Private room,4,1.0,2.0,Real Bed,75.00,100.00,50.00,2,25.00,1,1125,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,f,f,f,1.0
4,7651065,100%,100%,t,1.0,Roslindale,42.28451220982457,-71.1362580468337,House,Private room,2,1.5,2.0,Real Bed,79.00,,15.00,1,0.00,2,31,29,99.0,10.0,10.0,10.0,10.0,9.0,10.0,f,flexible,f,f,f,2.25
5,12386020,100%,95%,t,2.0,Roslindale,42.291689800769035,-71.13189277475922,Condominium,Private room,2,1.0,1.0,Real Bed,75.00,,30.00,1,0.00,2,1125,8,100.0,10.0,10.0,10.0,10.0,9.0,10.0,f,flexible,f,f,f,1.7
6,5706985,98%,96%,f,5.0,Roslindale,42.28138962623447,-71.13119041987277,Apartment,Entire home/apt,3,1.0,2.0,Real Bed,100.00,,,1,25.00,1,1125,57,90.0,10.0,10.0,10.0,10.0,9.0,9.0,f,strict,f,f,f,4.0
7,2843445,100%,100%,t,2.0,Roslindale,42.28194609607024,-71.14102161135577,House,Private room,2,2.0,1.0,Real Bed,75.00,,10.00,1,15.00,1,1125,67,96.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,t,t,f,2.38
8,753446,100%,100%,t,1.0,Roslindale,42.285877639201935,-71.12490955692161,Condominium,Private room,2,1.0,2.0,Real Bed,58.00,,,2,0.00,2,1125,65,96.0,10.0,10.0,10.0,10.0,9.0,10.0,f,moderate,f,f,f,5.36
9,849408,100%,100%,t,2.0,Roslindale,42.288820283584535,-71.1395101021012,Apartment,Entire home/apt,5,1.0,2.0,Real Bed,229.00,200.00,50.00,4,25.00,4,10,33,94.0,10.0,9.0,10.0,10.0,9.0,9.0,f,strict,f,f,f,1.01
10,12023024,83%,100%,f,1.0,Roslindale,42.286448197788786,-71.13932538848039,House,Private room,2,1.0,1.0,Real Bed,60.00,,30.00,1,10.00,1,1125,1,80.0,10.0,8.0,8.0,10.0,10.0,10.0,f,flexible,f,f,f,0.36
11,1668313,100%,89%,t,2.0,Roslindale,42.281941832424685,-71.13337190191741,House,Private room,1,1.0,1.0,Real Bed,57.00,,40.00,1,0.00,1,1125,17,94.0,9.0,10.0,10.0,10.0,9.0,9.0,f,flexible,f,f,f,0.48
12,2684840,100%,100%,f,2.0,Roslindale,42.29172341146307,-71.13155602161845,Condominium,Entire home/apt,4,1.0,2.0,Real Bed,93.00,,40.00,1,0.00,1,1125,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,t,flexible,f,f,f,0.64
13,13547301,100%,97%,f,1.0,Roslindale,42.287641034701096,-71.12988286590424,Apartment,Entire home/apt,5,1.0,3.0,Real Bed,150.00,,50.00,5,30.00,2,21,12,97.0,10.0,10.0,10.0,10.0,9.0,10.0,f,moderate,f,f,f,4.93
14,5434353,75%,100%,f,1.0,Roslindale,42.28626473620894,-71.13706513072117,House,Entire home/apt,2,1.5,2.0,Real Bed,145.00,500.00,150.00,2,35.00,3,1125,7,91.0,9.0,9.0,10.0,9.0,9.0,9.0,f,moderate,f,f,f,0.56
15,225979,100%,79%,f,2.0,Roslindale,42.2814520694321,-71.12925004404066,Apartment,Private room,1,0.0,1.0,Real Bed,60.00,,,1,0.00,1,365,70,96.0,9.0,10.0,10.0,10.0,9.0,10.0,t,strict,f,f,f,1.16
16,3420384,100%,100%,f,1.0,Roslindale,42.27440801253166,-71.12529404441553,House,Private room,4,1.0,3.0,Real Bed,165.00,,50.00,3,15.00,3,1125,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,f,f,f,1.0
17,13512930,100%,100%,f,2.0,Roslindale,42.29181491557826,-71.13158793430709,Condominium,Private room,2,1.0,1.0,Real Bed,75.00,,20.00,1,15.00,1,1125,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,t,flexible,f,f,f,0.37
18,7482195,100%,100%,t,3.0,Roslindale,42.282224755841604,-71.11518855890074,House,Private room,1,1.0,1.0,Real Bed,49.00,,,1,10.00,5,1125,0,,,,,,,,f,strict,f,f,f,
19,7252607,100%,100%,t,3.0,Roslindale,42.28280175042395,-71.11514509094087,House,Private room,2,1.0,1.0,Real Bed,49.00,,,1,10.00,5,1125,4,95.0,9.0,10.0,10.0,10.0,9.0,10.0,f,strict,f,f,f,0.29
20,2583074,100%,94%,t,3.0,Roslindale,42.27964781834151,-71.13605872909109,Villa,Private room,1,2.5,1.0,Real Bed,40.00,,,1,0.00,2,1125,31,99.0,10.0,10.0,10.0,10.0,9.0,10.0,f,flexible,f,f,f,1.24
21,13251243,100%,100%,f,1.0,Roslindale,42.29403534422037,-71.13223724631055,House,Entire home/apt,3,1.0,2.0,Real Bed,120.00,150.00,50.00,3,0.00,2,6,16,98.0,10.0,10.0,10.0,10.0,10.0,10.0,t,moderate,f,f,f,5.93
22,225834,100%,79%,f,2.0,Roslindale,42.280528126236185,-71.13084254103526,Apartment,Private room,2,0.0,1.0,Real Bed,70.00,,,1,10.00,1,365,38,98.0,9.0,10.0,10.0,10.0,9.0,9.0,t,strict,f,f,f,0.63
23,6400432,100%,63%,f,1.0,Roslindale,42.27838291101699,-71.12878009724983,House,Entire home/apt,8,1.0,5.0,Real Bed,150.00,150.00,100.00,6,0.00,3,1125,21,88.0,9.0,9.0,9.0,10.0,9.0,10.0,f,flexible,f,f,f,1.58
24,5498472,,,f,1.0,Roslindale,42.27683095063724,-71.12955973831468,House,Entire home/apt,5,3.5,3.0,Real Bed,175.00,500.00,100.00,1,0.00,14,1125,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,f,f,f,0.07
25,894539,100%,92%,t,2.0,Roslindale,42.290903928902345,-71.13023771355206,House,Private room,2,1.5,1.0,Real Bed,95.00,,10.00,1,0.00,1,1125,40,96.0,10.0,10.0,10.0,10.0,9.0,10.0,f,moderate,f,f,f,1.13
26,879929,100%,100%,f,1.0,Roslindale,42.291519991700966,-71.13185776978565,Apartment,Private room,2,1.0,1.0,Real Bed,90.00,,,1,0.00,1,1125,43,95.0,10.0,9.0,10.0,10.0,9.0,9.0,f,strict,f,f,f,1.06
